"idx","sidoNm","name","naverUrl","address","beerType","desc","homepage","x","y"
184,서울,Play Unknown Beer,http://naver.me/GJrFhF0C,서울 마포구 토정로3길 22 1층,탭룸,,http://instagram.com/playunknownbeer,"126.91457065443885","37.546505136169905"
185,서울,더풀비어,http://naver.me/57wAwXIE,서울 마포구 월드컵북로9길 24,탭룸,,https://www.instagram.com/the_fool_beer/,"126.91607502593983","37.55882162871566"
186,서울,주류사회,http://naver.me/Gulslv2g,서울 마포구 양화로 45,바틀샵,,https://www.instagram.com/sool_society/,"126.91366963674992","37.54983698941132"
187,경기,한우돌곱창,http://naver.me/GkKSWtuV,경기 화성시 동탄중심상가2길 36	,곱창집,곱창과 같이 수제맥주를 드셔보세요,https://www.instagram.com/hanwoo0033/,"127.07349694625435","37.20679319804272"
188,경기,그레이트이스트,http://naver.me/5qRnvVN2,경기 수원시 영통구 월드컵로179번길 14-12 2층,탭룸,,https://www.instagram.com/greateastpub/,"127.04490621150434","37.27845191388838"
189,경기,더바틀룸,http://naver.me/5zJov4JU,"경기 성남시 분당구 정자일로 121
",바틀샵,여러 종류의 맥주를 판매하는 바틀샵입니다,"http://www.instagram.com/the_bottle_room
","127.10581491429487","37.36109816139617"
190,경상,통영맥주,http://naver.me/FEJdzxDn,경남 통영시 항북길 53,브루펍,목욕탕을 개조한 맥주집입니다.,http://instagram.com/donghotang,"128.42939587324722","34.844760312539336"
191,경상,진주탭룸,http://naver.me/GEAIf39z,경남 진주시 신평공원길7번길 12,탭룸,,http://www.instagram.com/jinju_taproom,"128.0645030220353","35.170788200305736"
192,서울,로즈앤크라운,http://naver.me/xM28j9vX,서울 용산구 이태원로19길 6,탭룸,영국식 스타일 펍입니다.,"http://www.instagram.com/the_roseandcrown
","126.99199751419442","37.53474125713381"
193,부산,컬러드,http://naver.me/GhPW9zL2,부산 금정구 부산대학로63번길 39,브루펍,,https://www.instagram.com/coloredd_brew/,"129.0841252036297","35.22987658368891"
194,경기,후펍,http://naver.me/GrSq2Pnj,경기 용인시 처인구 포곡읍 포곡로61번길 6,탭룸,,http://www.instagram.com/hoo_pub,"127.21286778803753","37.26789818895645"
195,서울,아인글라스,http://naver.me/F1LDE3Ez,서울 서초구 양재천로 143-12,브루펍,뮌헨공대 양조학과 출신의 브루마스터가 만드는 독일 맥주를 먹을 수 있는 맥주집입니다.,https://www.instagram.com/einglas_bier,"127.04231090206147","37.479919646380665"
196,부산,꼽표XXX,http://naver.me/IDBxZOFC,부산 동래구 온천천로437번길 25,탭룸,,https://www.instagram.com/ggobpyo____taproom/,"129.1012428411486","35.19288884184715"
197,경상,위캔드커먼,http://naver.me/FS6UukVf,경북 경주시 원효로 152-2,바틀샵,"매주 금,토,일 만 오픈하는 바틀샵입니다.",https://www.instagram.com/weekendcommon/,"129.2176619290878","35.841699898017154"
198,경기,이스트앤박테리아,http://naver.me/59eURL00,경기 수원시 팔달구 정조로892번길 17 1층,탭룸,,https://www.instagram.com/yeastandbacteria,"127.0160438869429","37.287931436478736"
199,부산,티아펍,http://naver.me/xrPnegCk,부산 중구 부평1길 4,탭룸,,https://www.instagram.com/tiapub/,"129.0258022404411","35.09966107426633"
200,부산,아키투탭하우스,http://naver.me/5eGwpELW,부산 중구 남포길 31,탭룸,,https://www.instagram.com/akitu_tap_house/,"129.03214016977304","35.09860247880702"
201,부산,와일드캣브루잉,http://naver.me/GjR0XAIY,부산 부산진구 신천대로62번길 2 ,브루펍,,https://www.instagram.com/wildcatbrewing/,"129.0586091364546","35.15091374846701"
202,인천,엑스트라스몰 브루잉룸,http://naver.me/5X9wReVq,인천 연수구 청명로 19,브루펍,,https://www.instagram.com/xs.brewing.rm/,"126.67522412509415","37.41757132761446"
203,서울,히든트랙,http://naver.me/FwnAACx9,서울 동대문구 약령시로 6,탭룸,,https://www.instagram.com/hiddentrack_anam/,"127.03049338141696","37.58253038757705"
204,서울,맥주덕후 피자덕후,http://naver.me/57wWJyLf,서울 강남구 선릉로157길 23,탭룸,,https://www.instagram.com/beerduckhu,"127.03794198123624","37.5261030134241"
205,경기,노군수제맥주 동탄점,http://naver.me/GeW7pe0E,경기 화성시 동탄반송2길 25-5,탭룸,,https://www.instagram.com/nogoon002/,"127.06482395897298","37.20942145913365"
206,경기,노군수제맥주 화성시청점,http://naver.me/5cTNFnTZ,경기 화성시 남양읍 역골동로 9-16 1층,탭룸,,https://www.instagram.com/nogoon003/,"126.82871429827082","37.202490503299614"
207,경상,호피홀리데이,http://naver.me/xWNTLQWm,경북 의성군 안계면 소보안계로 2068,공방,,http://hoppyholiday.us/,"128.4358520024575","36.384122702085584"
208,서울,NOOSA PUB,http://naver.me/5y4qnnA2,서울 은평구 연서로29길 22-38,탭룸,,https://www.instagram.com/noosa_pub/,"126.9179930646675","37.62002298073675"
